system,subsystem,manufacturer,description,parts name / ref,num parts,link,estimated price per part,total price
computer,computer,Samsung,nvme storage,Samsung 990 PRO 1 TB ,1,https://www.mindfactory.de/product_info.php/1TB-Samsung-990-PRO-M-2-PCIe-4--3D-NAND-TLC--MZ-V9P1T0BW-_1471173.html,189,189
computer,computer,Seagate,HDD,6TB Seagate IronWolf ,1,https://www.mindfactory.de/product_info.php/6TB-Seagate-IronWolf-ST6000VN006-256MB-3-5Zoll--8-9cm--SATA-6Gb-s_1478263.html,203.86,203.86
computer,computer,Seasonic,power supply,Seasonic Vertex PX-850 ,1,https://www.mindfactory.de/product_info.php/850-Watt-Seasonic-Vertex-PX-850-Modular-80--Platinum_1511793.html,207.81,207.81
computer,computer,Noctua,fans,Noctua NF-A14 PWM ,4,https://www.mindfactory.de/product_info.php/Noctua-NF-A14-PWM-chromax-black-swap-140x140x25mm-300-1500-U-min-24-6-d_1203222.html,28.85,115.4
,,,,,,,,
TOTAL,mechanical,1633.81,,,,,,
,illumination,106.21,,,,,,
,projector,2205.03,,,,,,
,camera,4144.08,,,,,,
,computer,3698.08,,,,,,
,,11787.21,,,,,,
